producto_id,codigo,nombre,categoria,monto_neto_total,pct_monto,pct_acum,clase_abc,clase_sb,pct_ceros,adi,n_periodos
60,NO-CLAVO,No Clavo,Adhesivos,8719823.7,0.66,93.58,B,erratica,9.4,1.1,127
25,WALLTEX-CAFE,WALL tex café,Revestimientos murales,7878411.82,0.59,94.17,B,irregular,69.2,3.24,133
61,FIX-ALL,Fix All,Adhesivos,7650957.93,0.58,94.75,B,irregular,26.0,1.35,127
20,T111-TEAK,T1-11 Teak,Paneles interiores,7067193.31,0.53,95.28,C,irregular,78.2,4.59,133
23,T111-LIGHT,T1-11 Light,Paneles interiores,6724907.57,0.51,95.79,C,irregular,52.9,2.12,51
62,GALON-NO-CLAVO,Galon no Clavo,Adhesivos,6114588.47,0.46,96.25,C,irregular,26.8,1.37,127
59,CLIP-MONTAJE,Clip de montaje,Perfiles y terminaciones,5955284.18,0.45,96.7,C,erratica,9.2,1.1,109
17,ELM-GREY,ELM Grey,Paneles interiores,5949731.09,0.45,97.15,C,irregular,48.6,1.95,111
5,TERC-EST-15-2DA,Terc Estr 15mm 2da,Terciados,5856579.82,0.44,97.59,C,irregular,79.3,4.83,203
32,MARMOL-SPC-3MM,Marmol SPC 3mm,Revestimientos murales,3612000.0,0.27,97.86,C,irregular,36.0,1.56,25
38,PERFIL-H-GOLD,Perfil H Gold,Perfiles y terminaciones,3283336.14,0.25,98.11,C,irregular,42.0,1.72,112
46,PERFIL-ITS-J-CIPRES,Perfil ITSPANEL J Cipres,Perfiles y terminaciones,3157831.92,0.24,98.35,C,irregular,54.8,2.21,42
56,PERFIL-INICIO,Perfil Inicio,Perfiles y terminaciones,2490999.99,0.19,98.54,C,irregular,29.6,1.42,27
63,MADERA-2X3,2x3,Maderas,2389310.9,0.18,98.72,C,irregular,72.9,3.69,214
24,WALLTEX-BLANCO,WALL tex blanco,Revestimientos murales,2116588.25,0.16,98.88,C,irregular,83.0,5.88,47
64,TERRAZA-4,Terraza 4',Maderas,1648815.14,0.12,99.0,C,irregular,88.4,8.61,198
39,PERFIL-E-GREY,Perfil E Grey,Perfiles y terminaciones,1568285.62,0.12,99.12,C,irregular,27.5,1.38,51
48,PERFIL-ITS-J-GRIS,Perfil ITSPANEL J Gris,Perfiles y terminaciones,1435378.15,0.11,99.23,C,irregular,60.7,2.55,28
35,PANEL-ROCA-BLACK,Panel Roca Black,Revestimientos murales,1356428.58,0.1,99.33,C,irregular,91.7,12.0,96
19,ELM-BLACK,ELM Black,Paneles interiores,1182899.16,0.09,99.42,C,irregular,66.7,3.0,51
47,PERFIL-ITS-J-ALERCE,Perfil ITSPANEL J Alerce,Perfiles y terminaciones,997210.07,0.08,99.49,C,irregular,72.2,3.6,36
41,PERFIL-ITS-V-CIPRES,Perfil ITSPANEL V Cipres,Perfiles y terminaciones,815899.14,0.06,99.56,C,irregular,64.3,2.8,42
49,PERFIL-ITS-J-NEGRO,Perfil ITSPANEL J Negro,Perfiles y terminaciones,808344.54,0.06,99.62,C,intermitente,84.6,6.5,39
50,PERFIL-ITS-J-BLANCO,Perfil ITSPANEL J Blanco,Perfiles y terminaciones,793235.31,0.06,99.68,C,irregular,72.2,3.6,36
51,PERFIL-ITS-H-GRIS,Perfil ITSPANEL H Gris,Perfiles y terminaciones,621226.91,0.05,99.72,C,irregular,55.6,2.25,27
34,PANEL-ROCA-LIGHT,Panel Roca Light,Revestimientos murales,526613.44,0.04,99.76,C,irregular,91.0,11.17,67
44,PERFIL-ITS-V-NEGRO,Perfil ITSPANEL V Negro,Perfiles y terminaciones,483495.8,0.04,99.8,C,irregular,80.6,5.14,36
40,PERFIL-E-GOLD,Perfil E Gold,Perfiles y terminaciones,381588.22,0.03,99.83,C,irregular,65.3,2.88,49
9,TERC-RAN-9,Terc Ran 9mm,Terciados,352764.71,0.03,99.85,C,intermitente,97.8,44.5,89
43,PERFIL-ITS-V-GRIS,Perfil ITSPANEL V Gris,Perfiles y terminaciones,323067.25,0.02,99.88,C,intermitente,59.3,2.45,27
36,SEPARADOR-AMB,Separador de Ambiente,Revestimientos murales,315571.44,0.02,99.9,C,intermitente,94.0,16.75,67
57,PERFIL-L-WPC-LIGHT,Perfil L WPC Light,Perfiles y terminaciones,310302.51,0.02,99.93,C,irregular,42.3,1.73,26
45,PERFIL-ITS-V-BLANCO,Perfil ITSPANEL V Blanco,Perfiles y terminaciones,241747.89,0.02,99.94,C,irregular,74.3,3.89,35
58,PERFIL-L-WPC-AGED,Perfil L WPC Aged,Perfiles y terminaciones,213857.12,0.02,99.96,C,irregular,52.0,2.08,25
52,PERFIL-ITS-H-CIPRES,Perfil ITSPANEL H Cipres,Perfiles y terminaciones,201478.99,0.02,99.98,C,irregular,76.0,4.17,25
54,PERFIL-ITS-H-ALERCE,Perfil ITSPANEL H Alerce,Perfiles y terminaciones,176294.13,0.01,99.99,C,intermitente,77.8,4.5,27
53,PERFIL-ITS-H-NEGRO,Perfil ITSPANEL H Negro,Perfiles y terminaciones,142714.28,0.01,100.0,C,intermitente,74.1,3.86,27
42,PERFIL-ITS-V-ALERCE,Perfil ITSPANEL V Alerce,Perfiles y terminaciones,0.0,0.0,100.0,C,irregular,61.1,2.57,36
