periodo,cantidad,monto_neto,categoria
2025-04-21,33.0,165268.91999999998,Adhesivos
2025-04-28,12.0,52756.299999999996,Adhesivos
2025-05-05,18.0,85899.16,Adhesivos
2025-05-12,6.0,60201.68,Adhesivos
2025-05-19,29.0,159000.01,Adhesivos
2025-05-26,9.0,113957.99,Adhesivos
2025-06-02,45.0,221218.49,Adhesivos
2025-06-09,65.0,215840.34,Adhesivos
2025-06-16,16.0,119865.54,Adhesivos
2025-06-23,22.0,152924.37,Adhesivos
2025-06-30,15.0,93991.59999999999,Adhesivos
2025-07-07,31.0,194697.48,Adhesivos
2025-07-14,35.0,204747.9,Adhesivos
2025-07-21,32.0,184605.05,Adhesivos
2025-07-28,17.0,100697.48000000001,Adhesivos
2025-08-04,102.0,432756.29,Adhesivos
2025-08-11,11.0,63773.11,Adhesivos
2025-08-18,28.0,302285.73,Adhesivos
2025-08-25,68.0,409512.62,Adhesivos
2025-09-01,48.0,292033.62,Adhesivos
2025-09-08,41.0,275285.7,Adhesivos
2025-09-15,34.0,134168.07,Adhesivos
2025-09-22,61.0,271756.3,Adhesivos
2025-09-29,61.0,349067.23,Adhesivos
2025-10-06,46.0,268521.01,Adhesivos
2025-10-13,53.0,335689.08999999997,Adhesivos
2025-10-20,20.0,171260.51,Adhesivos
2025-10-27,17.0,130949.58,Adhesivos
2025-11-03,26.0,157764.7,Adhesivos
2025-11-10,33.0,245100.85,Adhesivos
2025-11-17,27.0,177924.36,Adhesivos
2025-11-24,29.0,151016.79,Adhesivos
2025-12-01,105.0,479789.92,Adhesivos
2025-12-08,20.0,107394.95999999999,Adhesivos
2025-12-15,49.0,305470.59,Adhesivos
2025-12-22,2.0,33596.64,Adhesivos
2025-12-29,13.0,117537.82,Adhesivos
2026-01-05,86.0,442974.79000000004,Adhesivos
2026-01-12,32.0,272000.01,Adhesivos
2026-01-19,39.0,147571.43,Adhesivos
2026-01-26,64.0,338957.99,Adhesivos
2026-02-02,48.0,275226.9,Adhesivos
2026-02-09,41.0,204697.47999999998,Adhesivos
2026-02-16,23.0,161151.25999999998,Adhesivos
2026-02-23,28.0,171193.28,Adhesivos
2026-03-02,46.0,177764.71,Adhesivos
2026-03-09,23.0,154428.57,Adhesivos
2026-03-16,72.0,275025.21,Adhesivos
2026-03-23,44.0,258453.78,Adhesivos
2026-03-30,13.0,87285.72,Adhesivos
2026-04-06,42.0,261831.93,Adhesivos
2026-04-13,29.0,184630.27,Adhesivos
2026-04-20,23.0,157789.91,Adhesivos
2026-04-27,18.0,117495.79,Adhesivos
2026-05-04,30.0,204789.91,Adhesivos
2026-05-11,6.0,47008.4,Adhesivos
2026-05-18,49.0,275218.5,Adhesivos
2026-05-25,25.0,120798.32,Adhesivos
2026-06-01,19.0,127571.42,Adhesivos
2026-06-08,0.0,0.0,Adhesivos
2026-06-15,0.0,0.0,Adhesivos
2026-06-22,0.0,0.0,Adhesivos
2026-06-29,0.0,0.0,Adhesivos
2026-07-06,0.0,0.0,Adhesivos
2022-11-14,6.0,85663.86,Aislación
2022-11-21,1.0,14277.31,Aislación
2022-11-28,0.0,0.0,Aislación
2022-12-05,4.0,57109.24,Aislación
2022-12-12,14.0,199882.35,Aislación
2022-12-19,28.0,399764.7,Aislación
2022-12-26,9.0,128495.79999999999,Aislación
